categories,descriptions,names
"['4', '17']","סיפורו האמיתי של סיריניבסה רמג'ואן, בחור צעיר ממוצא הודי שהפך בכוחות עצמו למתמטיקאי מחונן. מערכת היחסים עם המנטור שלו, ג'י.ה.הרדי, מגלה בפניו עולם חדש של הזדמנויות והופכת אותו לאחד המתמטיקאים החשובים בעולם.",האיש שידע אינסוף
"['8', '6']",עיתונאית משחזרת את ימי הסיקור המלחמתי שלה בפקיסטן ובאפגניסטן,וויסקי טנגו פוקסטרוט
"['8', '4', '13']","איראן, שנות השבעים. היבאט הוא נער צעיר, חכם ומלא חוש הומור שמצטרף לתנועת ההתנגדות נגד הממשל בארצו. הוא נשלח לכלא ועובר חקירות ועינויים - אך לא רק שהוא לא נשבר, הוא תמיד נשאר עם חיוך על הפנים. כשהוא משוחרר מהכלא לאחר 7 שנים, הוא מכיר אחות צעירה ויפה והשניי ...  המשך ...",המשפחה הפרסית שלי
"['16', '2', '15']","שאביו האבוד של הפנדה פו חוזר לפתע והשניים נוסעים לגן עדן סודי לדובי פנדה. כאשר הנבל העל טבעי- קאי מתחיל לנצח את כל המאסטרים הגדולים של הקונג פו בסין, על פו להצליח לעשות את הבלתי אפשרי- לאמן כפר שלם של דובי פנדה מתוקים ומגושמים להילחם, ולהפוך אותם ללהקה של ...  המשך ...",קונג פו פנדה 3 (תלת מימד
"['16', '2', '15']","שאביו האבוד של הפנדה פו חוזר לפתע והשניים נוסעים לגן עדן סודי לדובי פנדה. כאשר הנבל העל טבעי- קאי מתחיל לנצח את כל המאסטרים הגדולים של הקונג פו בסין, על פו להצליח לעשות את הבלתי אפשרי- לאמן כפר שלם של דובי פנדה מתוקים ומגושמים להילחם, ולהפוך אותם ללהקה של ...  המשך ...",קונג פו פנדה 3 (מדובב
"['16', '2', '15']","שאביו האבוד של הפנדה פו חוזר לפתע והשניים נוסעים לגן עדן סודי לדובי פנדה. כאשר הנבל העל טבעי- קאי מתחיל לנצח את כל המאסטרים הגדולים של הקונג פו בסין, על פו להצליח לעשות את הבלתי אפשרי- לאמן כפר שלם של דובי פנדה מתוקים ומגושמים להילחם, ולהפוך אותם ללהקה של ...  המשך ...",קונג פו פנדה 3 (תלת מימד)
"['16', '2', '15']","שאביו האבוד של הפנדה פו חוזר לפתע והשניים נוסעים לגן עדן סודי לדובי פנדה. כאשר הנבל העל טבעי- קאי מתחיל לנצח את כל המאסטרים הגדולים של הקונג פו בסין, על פו להצליח לעשות את הבלתי אפשרי- לאמן כפר שלם של דובי פנדה מתוקים ומגושמים להילחם, ולהפוך אותם ללהקה של ...  המשך ...",קונג פו פנדה 3 (מדובב)
"['10', '11', '14']","סמנתה, זמרת אנונימית משכונת עוני קשה בניו-אורלינס  מנסה לפלס את דרכה אל עולם המוזיקה ונכשלת פעם אחר פעם. בצד השני של העולם, המוזיקאי הישראלי קותימאן, מגלה את סמנתה בחיפושיו אחר זמרות שהעלו לרשת שירים שכתבו. הוא הופך את שיריה ליצירה חדשה שעומדת להיחשף בפני ...  המשך ...",פרינסס שואו
['7'],"הארי טרנר, אנליסט ממשלתי שאפתן, חולם להיות סוכן שטח בינלאומי של ה-CIA כמו אביו, לאונרד טרנר. כשהאב נחטף על ידי טרוריסטים מקצוענים המאיימים להשתלט על נשק סייבר בעל פוטנציאל נזק עצום לעולם החופשי ולארה""ב הוא מחליט להציל את חיי אביו, לסכל את האיום הרצחני ולה ...  המשך ...",איום מיידי
"['10', '14']","זוכה פרס ""חביב הקהל"" לסרט דוקומנטרי בפסטיבל ברלין. הסרט מביא את סיפורו של סער מעוז, בכור מבין שבעה אחים במשפחה דתית-לאומית משדה אליהו, שיצא מהארון בנעוריו והחליט לעזוב ללונדון לאור תגובת משפחתו. במהלך חייו בלונדון הוא מעצב את זהותו מחדש תוך שהוא מתרחק ממש ...  המשך ...",מי יאהב אותי עכשיו?
['4'],"דרום ארה""ב שלפני מלחמת האזרחים. נאט טרנר הוא עבד מלומד ומטיף דת, אשר בעליו, הלחוץ כלכלית, מקבל הצעה להשתמש בו כמטיף על מנת לשלוט בעבדים לא ממושמעים. לאחר שהוא נחשף לאינספור זוועות – נגדו ונגד חבריו העבדים, נאט מנצח על התקוממות בתקווה להוביל את אנשיו לחופש ...  המשך ...",הולדתה של אומה
"['4', '8', '17']","המוסיקה היא אהבת חייה של פלורנס פוסטר ג'נקינס, אשת חברה ניו יורקית במאה שעברה. היא נושמת מוסיקה, מעריצה גדולה של העוסקים בתחום, פילנטרופית נדיבה של אירועי מוסיקה, וזמרת חובבת בעצמה, אבל כשפלורנס שרה יוצאים מגרונה צלילים שקצת פחות מיטיבים עם הסובבים איתה.  ...  המשך ...",פלורנס פוסטר ג'נקינס
"['4', '9', '13']",טוני מגיעה למרכז שיקום לאחר תאונת סקי קשה. כשהיא תלויה במשככי כאבים ובצוות הרפואי היא לוקחת את הזמן כדי להיזכר ולבחון את סיפור האהבה וחייה עם ג’ורג’יו. למה הם התאהבו? מה קרה לאיש שהיא העריצה? איך היא הייתה מסוגלת להקריב את עצמה למען התשוקה הלוהטת וההרסנית ...  המשך ...,מלך שלי
"['7', '17', '11']","סיפורם של מנאר, זמרת צעירה ולוחמנית וקרים, אמן היפ-הופ. שני אוהבים צעירים שמנסים לפלס את דרכם המשותפת בגטו הפלסטיני של לוד, אחת מתחנות הסמים המרכזיות בישראל. סיפור אהבתם והמוזיקה שהם יוצרים הופכים לכלי הנשק, בעזרתו הם מנסים להילחם בשתי חזיתות במקביל: בחזי ...  המשך ...",ג'נקשן 48
"['8', '14']","לאחר כישלון האלבום החדש שלו, כוכב פופ/ראפ מוכן לנסות כל דבר כדי לחזור לכותרות, חוץ מאשר להתאחד עם הלהקה שבה היה חבר פעם.",פופסטאר
"['8', '9']",שובר לבבות סדרתי שלא מאמין במערכות יחסים פוגש בחורה יפה ומסתורית.,זוג מושלם
"['16', '2', '15']","עיר החיות ""זוטרופוליס"" היא עיר בה כל החיות מכל הזנים והסוגים חיות יחדיו. אולם כאשר השוטרת ג'ודי הופס מגיעה לעיר היא מגלה שלהיות הארנבת הראשונה בשירות המשטרה של חיות גדולות וקשוחות, אינה משימה פשוטה. נחושה להוכיח את עצמה, היא קופצת על ההזדמנות לפצח תעלומה, ...  המשך ...",זוטרופוליס (מדובב)
"['16', '2', '15']","עיר החיות ""זוטרופוליס"" היא עיר בה כל החיות מכל הזנים והסוגים חיות יחדיו. אולם כאשר השוטרת ג'ודי הופס מגיעה לעיר היא מגלה שלהיות הארנבת הראשונה בשירות המשטרה של חיות גדולות וקשוחות, אינה משימה פשוטה. נחושה להוכיח את עצמה, היא קופצת על ההזדמנות לפצח תעלומה, ...  המשך ...",זוטרופוליס (מדובב
"['16', '2', '15']","עיר החיות ""זוטרופוליס"" היא עיר בה כל החיות מכל הזנים והסוגים חיות יחדיו. אולם כאשר השוטרת ג'ודי הופס מגיעה לעיר היא מגלה שלהיות הארנבת הראשונה בשירות המשטרה של חיות גדולות וקשוחות, אינה משימה פשוטה. נחושה להוכיח את עצמה, היא קופצת על ההזדמנות לפצח תעלומה, ...  המשך ...",זוטרופוליס (תלת מימד)
['7'],"טרם פורסמו פרטי עלילה. הסרט יעסוק בדמויותיהן של סופרמן, באטמן וונדרוומן שישתפו פעולה לראשונה על המסך הגדול",באטמן נגד סופרמן: שחר הצדק (תלת מימד)
"['3', '15']",ביאטריס וטוביאס יוצאים אל העולם שמחוץ לגדר ונלקחים למשמרת הגנתית על ידי ארגון מסתורי,סאגת מפוצלים: נאמנים (4DX)
"['16', '2', '15']","שאביו האבוד של הפנדה פו חוזר לפתע והשניים נוסעים לגן עדן סודי לדובי פנדה. כאשר הנבל העל טבעי- קאי מתחיל לנצח את כל המאסטרים הגדולים של הקונג פו בסין, על פו להצליח לעשות את הבלתי אפשרי- לאמן כפר שלם של דובי פנדה מתוקים ומגושמים להילחם, ולהפוך אותם ללהקה של ...  המשך ...",קונג פו פנדה 3 (מדובב
"['14', '9', '2']","גירסה מוזיקלית ומצולמת לסרט הקלאסי של דיסני. נסיך יפה תואר ומפונק הופך בכישוף לחיה מפלצתית. כדי לשבור את הכישוף, הוא חייב ללמוד לאהוב. כמה שנים מאוחר יותר בעיירה קטנה לא רחוק משם, בל, צעירה יפה, יוצאת לחפש את אביה הנעדר ומגיעה לשחרר אותו מהטירה המכושפת, ה ...  המשך ...",היפה והחיה
"['1', '4', '13']","פיטר מגיע לכפר פסטורלי בפולין, מקום הולדתה של אשתו לעתיד. אביה של הכלה מעניק לו מתנת נישואים - חלקת אדמה, בה יוכלו לבנות בית ולהקים משפחה. בזמן חפירת תשתית לבית, פיטר מוצא עצמות אדם בתוך חלקת האדמה אותה קיבל. הוא מחליט לשמור את הסוד לעצמו על מנת שההכנות ל ...  המשך ...",הדיבוק
"['8', '4', '9']","מגי היא צעירה בת שלושים פלוס שחיה בניו יורק, שמחליטה שהגיע הזמן שלה להביא ילד לעולם – עם או בלי מערכת יחסים. כשהיא פוגשת פרופסור שעובד איתה ומתאהבת, על אף שהוא נשוי - תכניותיה לגבי האמהות משתנות. בעזרתם של חבריה הנשואים, מגי הוגה תכנית שתשזור את חייה וחיי ...  המשך ...",הרומן של מגי
['7'],"כשנתיים אחרי מאורעות הסרט השביעי בסדרה, דומיניק טורטו ולטו נמצאים בירח הדבש שלהם, בעוד בריאן אוקונור ומיה פרשו מן המשחק, ואילו שאר חברי הצוות מפוזרים וחיים חיים נורמליים. אבל אז, הכול משתנה כאשר אישה מסתורית ורבת עוצמה העונה לשם סייפר מפתה את דום לתוך עול ...  המשך ...",מהיר ועצבני 8
"['4', '13']","זוכה פרס השחקנית הטובה ביותר בפסטיבל ברלין. שנות השבעים. לאחר מותו של אביו, אריק, מרצה באוניברסיטה, יורש וילה גדולה בצפון קופנהגן. אשתו אנה, מגישת חדשות מפורסמת, רואה בכך הזדמנות ומציעה לעבור לשם יחד עם בתם הצעירה וזוגות נוספים ולחיות כולם ביחד כקומונה. א ...  המשך ...",הקומונה
"['2', '16']","ברבי וחברותיה הטובות ביותר טרסה וריני הופכות ממתעמלות חרוצות לסוכנות סמויות. כשכישורי ההתעמלות יוצאי הדופן שלהן תופסים את עיניה של סוכנות בילוש-על, הבנות נשלחות במהרה לעקוב אחרי רמזים המובילים אותן לחתול גונב אבני החן, שמצליח לחמוק מידיהם של כולם. כשהן מצ ...  המשך ...",ברבי יחידת הריגול (מדובב)
['7'],"טרם פורסמו פרטי עלילה. הסרט יעסוק בדמויותיהן של סופרמן, באטמן וונדרוומן שישתפו פעולה לראשונה על המסך הגדול",באטמן נגד סופרמן: שחר הצדק (תלת מימד
['7'],"טרם פורסמו פרטי עלילה. הסרט יעסוק בדמויותיהן של סופרמן, באטמן וונדרוומן שישתפו פעולה לראשונה על המסך הגדול",באטמן נגד סופרמן: שחר הצדק (תלת מימד
['4'],נערה שסובלת ממחלה נדירה נרפאת באופן מופלא לאחר ששרדה תאונת דרכים קשה,ניסים מגן עדן
"['4', '13']","סנטארו מנהל מסעדה קטנטונת שמוכרת רק דוריאקי, פנקייקים קטנים ממולאים בממרח שעועית אדום מתוק בשם אן. יום אחד מופיעה במסעדה אישה מבוגרת בשם טוֹקוּ. היא רוצה להציע את עצמה כטבחית. סנטארו מהסס, אך כשהוא טועם את ה""אן"" של טוקו הוא לא יכול לסרב. עד מהרה העסק הקטן ...  המשך ...",אן
"['1', '4']","ננסי גולשת לבדה על חוף מבודד כאשר היא מותקפת על ידי כריש לבן גדול ומוצאת את עצמה לכודה במרחק קצר מהחוף. למרות שהיא נמצאת רק במרחק של 200 מטרים מלשרוד, להגיע לחוף המבטחים נראה כבלתי אפשרי",מים לא שקטים
"['15', '7']","לאחר שאיבד את מזלו, רוחות של ביש מזל נושבות לכיוונו של קפטן ג'ק ספארו כשרוחות רפאים של פיראטים בהנהגתו של יריבו העתיק קפטן סלזאר בורחות ממשולש השטן ונחושות להרוג כל פיראט בים, כולל אותו.  תקוותו היחידה של קפטן ג'ק היא קלשונו של פוסידון, חפץ עתיק יומין המע ...  המשך ...",שודדי הקאריביים: נקמתו של סלזאר
"['16', '8']",מוצרי המזון מחכים  בסופר שייבחרו ויילקחו לביתם של בני האדם. נקניקיה אחת מובילה את קבוצת המצרכים במטרה לגלות מה באמת קורה כאשר הם נבחרים לעזוב את את הצרכנייה אל הלא נודע,מסיבת נקניקיות
"['7', '8']","כשהמפקדה של קינגסמן נחרבת והעולם כולו הופך לבן ערובה, המסע מוביל אותם לגילוי של ארגון ריגול בן ברית בארה""ב הנקרא סטייטסמן. שני ארגוני העלית האלה עושים יד אחת כדי להביס אויב משותף אכזר ולהציל את העולם",קינגסמן: מעגל הזהב
['7'],אמן הונאות צעיר נקלע יחד עם סוכן CIA לשעבר לפרשיית ריגול בינלאומית. יחד הם נרתמים לסיכול פיגוע טרור בצרפת,הג'וב הצרפתי
"['3', '7', '15']","ולריאן ולורלין הם שני סוכנים של ממשלת הטריטוריות האנושיות, היוצאים למשימה בעיר אלפא המאגדת בתוכה תושבים מאלפי גלקסיות הפזורות ביקום. אלפא מייצגת עיר סופר גלקטית המאכלסת את מיטב הכשרונות של תושבי היקום, אבל כוחות רשע הפועלים שם מאיימים על עתיד המקום ותושבי ...  המשך ...",ולריאן ועיר אלף הכוכבים
"['17', '14', '4']","עיתונאי ה""רולינג סטון"" דייב בריל מוכן לעשות הכל בשביל ראיון בלעדי עם ענק הג'אז מיילס דיוויס. מה שהוא מקבל בתמורה להגשמת חלומו הוא מפגש פרוע ומחשמל עם אדם, שכמו המוסיקה שלו, חי על הקצה בין מרדפי מכוניות לרומן סוער עם זמרת חושנית.",Miles Ahead
"['16', '2']","על אי זעיר ואקזוטי חי תוכי חברותי עם חבריו בעלי החיים המוזרים. עם זאת הוא לא יכול להפסיק לחלום על לגלות את העולם. לאחר סערה קשה, התוכי וחבריו מתעוררים ומוצאים יצור מוזר על החוף: רובינזון קרוזו . התוכי רואה מיד בקרוזו ככרטיס היציאה שלו מהאי כדי לחקור אדמות ...  המשך ...",רובינזון קרוזו (מדובב)
['4'],מורה יוצאת למסע תיאולוגי לאחר שנשאלת בכיתה לגבי ישו,אלוהים לא מת 2
['8'],קארל מגיע עם משפחתו משיקגו לחופשה בבוורלי הילס ומגלה כי הם הגיעו ליום בשנה בו כל הפשע מותר למשך תקופה בת 12 שעות.,פגוש את השחורים
['4'],"אחרי שנים רבות בארה""ב, חוזר כריסטיאן אל עיירת הולדתו באוסטרליה כדי להשתתף בחתונה של אביו, שנישא מחדש לבחורה הצעירה ממנו בעשרים שנה. השהות בעיירה, בה לא ביקר מאז מות אמו, מציפה בכריסטיאן רגשות מעורבים של זכרונות מהעבר, שגוברים כאשר הוא נתקל באוליבר, ידיד ו ...  המשך ...",הבת
"['7', '3']","ג'וליאן מייקלס מפעיל עבור עשירי העולם את מקום הבילוי המושלם: ""וייס"". הכל מותר ב״וייס״, והלקוחות יכולים לממש את הפנטזיות הפרועות ביותר שלהם עם נערות שיעשו כל מה שהלקוח יבקש. אדם רגיל לא ירגיש שבסופו של כל יום זכרונו נמחק. עקב תקלה, אחת מהנערות, קלי מתחילה  ...  המשך ...",זיכרון קטלני
"['8', '9']","כאשר ברידג'ט ג'ונס מגיעה לגיל 40 היא שוב רווקה, ומחליטה להתרכז בקריירה שלה כמפיקת תכנית חדשות. חיי האהבה של ברידג'ט מקבלים תפנית כשהיא פוגשת גבר אמריקאי בשם ג'ק שהוא ההפך הגמור מדארסי. כשג'ונס מגלה שהיא בהריון, היא עומדת בפני בעיה קטנה אחת: היא בטוחה רק ב ...  המשך ...",ברידג'ט ג'ונס בייבי
"['4', '13']",השופט מישל רסין ידוע בגזרי הדין החמורים שלו בעיה של יחסי אנוש. אבל אפילו ללב הקשה ביותר יש רגעים רכים. אצל רסין זה מתעורר כאשר מתיישבת אצלו בחבר המושבעים אישה ששברה בעבר את ליבו אבל לא בטוח שזה הדדי,גלימת השופט
['1'],"כשרבקה עוזבת את בית הוריה ויוצאת לחייה הבוגרים היא בטוחה שעזבה גם את כל פחדי הילדות מאחור ואת האירועים שחוותה בילדותה כשהאורות היו כבויים. כעת, אחיה הקטן מרטין חווה את אותם אירועים מבעיתים שבעבר ערערו את שפיותה של רבקה ואיימו על ביטחונה. רבקה מחליטה לגלות ...  המשך ...",כיבוי אורות
"['8', '7']","מבוסס על סיפור אמיתי. שני צעירים, סוחרי נשק אמביציוזיים, אך חסרי השכלה ממיאמי, מצליחים לנצל יוזמה ממשלתית המאפשרת לעסקים קטנים לגשת למכרזים לחוזים עבור צבא ארצות הברית במהלך מלחמת עיראק. השניים, שהחלו מחוזים קטנים, מתחילים לחיות את החיים הטובים ואז זוכים, ...  המשך ...",כלבי מלחמה
"['15', '7', '13']","ההפקה בעלת התקציב הגדול בתולדות סין. כאשר לוחם החרב כלוא בתוך החומה, הוא מגלה את התעלומה הגדולה מאחורי אחד מפלאי התבל של האנושות ומחליט להצטרף לכוח לחימה מיוחד הנערך להגן על אזרחי האימפריה והעולם בחומה הסינית הגדולה. האויב מולו הם מתמודדים מתגלה כיצורי פר ...  המשך ...",החומה הגדולה
"['15', '2']","עיבוד חדש לסרט האנימציה הקלאסי. מוגלי מגלה שהוא אינו רצוי עוד בג'ונגל לאחר שהנמר האימתני שירחאן, מחליט שמוגלי הוא סכנה שצריך לסלק מהג'ונגל. כשהוא נאלץ לעזוב את הבית היחיד שאי פעם הכיר, מוגלי יוצא למסע של גילוי עצמי, מובל ע""י מורו הרוחני- הפנתר בגירה וע""י  ...  המשך ...",ספר הג'ונגל (תלת מימד)
"['15', '2']","עיבוד חדש לסרט האנימציה הקלאסי. מוגלי מגלה שהוא אינו רצוי עוד בג'ונגל לאחר שהנמר האימתני שירחאן, מחליט שמוגלי הוא סכנה שצריך לסלק מהג'ונגל. כשהוא נאלץ לעזוב את הבית היחיד שאי פעם הכיר, מוגלי יוצא למסע של גילוי עצמי, מובל ע""י מורו הרוחני- הפנתר בגירה וע""י  ...  המשך ...",ספר הג'ונגל (מדובב
"['15', '2']","עיבוד חדש לסרט האנימציה הקלאסי. מוגלי מגלה שהוא אינו רצוי עוד בג'ונגל לאחר שהנמר האימתני שירחאן, מחליט שמוגלי הוא סכנה שצריך לסלק מהג'ונגל. כשהוא נאלץ לעזוב את הבית היחיד שאי פעם הכיר, מוגלי יוצא למסע של גילוי עצמי, מובל ע""י מורו הרוחני- הפנתר בגירה וע""י  ...  המשך ...",ספר הג'ונגל (מדובב)
"['15', '2']","עיבוד חדש לסרט האנימציה הקלאסי. מוגלי מגלה שהוא אינו רצוי עוד בג'ונגל לאחר שהנמר האימתני שירחאן, מחליט שמוגלי הוא סכנה שצריך לסלק מהג'ונגל. כשהוא נאלץ לעזוב את הבית היחיד שאי פעם הכיר, מוגלי יוצא למסע של גילוי עצמי, מובל ע""י מורו הרוחני- הפנתר בגירה וע""י  ...  המשך ...",ספר הג'ונגל (תלת מימד
"['15', '2']","עיבוד חדש לסרט האנימציה הקלאסי. מוגלי מגלה שהוא אינו רצוי עוד בג'ונגל לאחר שהנמר האימתני שירחאן, מחליט שמוגלי הוא סכנה שצריך לסלק מהג'ונגל. כשהוא נאלץ לעזוב את הבית היחיד שאי פעם הכיר, מוגלי יוצא למסע של גילוי עצמי, מובל ע""י מורו הרוחני- הפנתר בגירה וע""י  ...  המשך ...",ספר הג'ונגל (מדובב
"['15', '2']","עיבוד חדש לסרט האנימציה הקלאסי. מוגלי מגלה שהוא אינו רצוי עוד בג'ונגל לאחר שהנמר האימתני שירחאן, מחליט שמוגלי הוא סכנה שצריך לסלק מהג'ונגל. כשהוא נאלץ לעזוב את הבית היחיד שאי פעם הכיר, מוגלי יוצא למסע של גילוי עצמי, מובל ע""י מורו הרוחני- הפנתר בגירה וע""י  ...  המשך ...",ספר הג'ונגל (תלת מימד
"['4', '7', '9']","1942. קצין המודיעין מקס ואטן ולוחמת המחתרת הצרפתית – מארין בוג'ור מתאהבים במהלך משימה קטלנית  כנגד כל הסיכויים, ופורשים בכדי לבנות חיים משותפים יחד. האידיליה נשברת כשנודע למקס כי יתכן ומריאן היא מרגלת נאצית, וכעת הם צריכים לעמוד במבחן הנאמנות, הזהות והאהב ...  המשך ...",בעלי ברית
"['7', '15']","בשנות ה-70 צוות המורכב ממדענים ולוחמים נשלח לחקור את מעמקיו של אי שלא מופה מעולם באוקיינוס  השקט. האי מתגלה כיפהפה אך גם כמסוכן – הצוות לא מודע לכך שהם נכנסים לשטחו של גורילה אגדית ענקית הידועה בשם קונג. כשמשימת הגילוי שלהם הופכת למשימת הישרדות, הם חייבים ...  המשך ...",קונג: אי הגולגולת
"['4', '11']","נעמה ברש בת ה-17, מתגוררת בפרבר ישנוני בו היא מסתובבת עם החברות שלה שתחביביהן המשותפים הם אלכוהול, סמים ואפליקציות חדשות בפלאפון. היא גרה בבית עם הוריה התלושים, אח קטן ואומלל ואחות חיילת שמייצרת דרמות בכל פעם שהיא יוצאת עם נער שוליים אחר. יום אחד מופיעה ב ...  המשך ...",ברש
"['16', '15', '2']","ספין אוף ל""סרט לגו"" בכיכובו של לגו באטמן. שינויים רבים מתרחשים בעיר גות'הם. כדי להציל את העיר מההשתלטות העוינת של הג'וקר, באטמן יוצא למסע העצמה אישי במסגרתו יצטרך להשיל מעליו את כל המגננות וללמוד את חשיבותה של עבודת צוות",לגו באטמן
"['3', '7']","בעקבות האירועים המתרחשים ב""הנוקמים:עידן אולטרון"", מנהיגי העולם מחליטים להעביר הצעת חוק שתפקח על פעילות גיבורי העל. הדבר גורם למחלוקת בקרב צוות ""הנוקמים"" שמתחלקים לשתי קבוצות - התומכים באיירון מן מול התומכים בקפטן אמריקה, מה שגורם לקרב ענק בין בני הברית לש ...  המשך ...",קפטן אמריקה: מלחמת האזרחים (תלת מימד)
"['3', '7']","בעקבות האירועים המתרחשים ב""הנוקמים:עידן אולטרון"", מנהיגי העולם מחליטים להעביר הצעת חוק שתפקח על פעילות גיבורי העל. הדבר גורם למחלוקת בקרב צוות ""הנוקמים"" שמתחלקים לשתי קבוצות - התומכים באיירון מן מול התומכים בקפטן אמריקה, מה שגורם לקרב ענק בין בני הברית לש ...  המשך ...",קפטן אמריקה: מלחמת האזרחים (תלת מימד
"['3', '7']","בעקבות האירועים המתרחשים ב""הנוקמים:עידן אולטרון"", מנהיגי העולם מחליטים להעביר הצעת חוק שתפקח על פעילות גיבורי העל. הדבר גורם למחלוקת בקרב צוות ""הנוקמים"" שמתחלקים לשתי קבוצות - התומכים באיירון מן מול התומכים בקפטן אמריקה, מה שגורם לקרב ענק בין בני הברית לש ...  המשך ...",קפטן אמריקה: מלחמת האזרחים (תלת מימד
['16'],"מבוסס על סדרת משחקי המחשב. שועל ורובוט מגלים בטעות נשק שיכול להשמיד פלנטות שלמות, ומאחדים כוחות עם קבוצת גיבורים כדי להציל את הגלקסיה.",ראצ'ט וקלאנק (מדובב)
['8'],הסרט השלישי בסדרת הקומדיות המצליחה. הצוות במספרה מתאחד כדי ליצור שינוי בשכונה המידרדרת.,המספרה 3
"['7', '8']",המשך לקומדיות האקשן המצליחות בכיכובם של וויל סמית' ומרטין לורנס. העלילה טרם ידועה,בחורים רעים 3
"['7', '15']","רימייק למערבון הקלאסי מ-1960. כשהעיירה רוז קריק נמצאת תחת שליטתו הקטלנית של התעשיין ברתולומיאו בוג, אנשי העיירה הנואשים משלמים לשבעה פורעי חוק שיגנו עליהם: ציידי ראשים, מהמרים ושכירי חרב. בזמן שהם מכינים את העיירה לעימות האלים שמצפה להם, שבעת שכירי החרב מ ...  המשך ...",שבעת המופלאים
"['7', '15']",גרסה חדשה נוספת לספיידרמן הפעם בתוך עולם הקומיקס הקולנועי של מארוול.,ספיידרמן: השיבה הביתה
"['8', '9']","חייו של טד מורגן עוברים באדישות קיומית. לאחר שאשתו עוזבת אותו, הוא מחליט לחזור לעיר מולדתו ולסגור חשבונות ישנים עם כל מי שפגע בו בעבר, לפני שיסיים את חייו. להפתעתו הוא מגלה פרספקטיבה חדשה ממרחק השנים שחלפו; הוא פוגש חברים ישנים ואהבות נושנות, ובנקודה הנמו ...  המשך ...",הכל הולך
"['4', '11']","סיפורה של משפחה המתגוררת בבית הקברות היהודי שמשתרע על הר הזיתים שבירושלים. במשך היום הבעל והילדים הולכים לבית הספר והעבודה ואם המשפחה נותרת לבדה על ההר. עד שלילה אחד, מתוך התסכול על שיגרת חייה היא יוצאת לסיור בהר ונחשפת לסצינה לילית שמתרחשת במעלה בית הקבר ...  המשך ...",ההר
"['4', '8', '13']","אלמה גדלה במשפחה של חקלאים קשוחים: שני בנים ואבא שגידל את בניו לעבודה קשה בחווה ובמטע הזיתים העצום של המשפחה. הזמנים משתנים, והבנים שמחפשים דרך קלה יותר להתפרנס מוכרים, בלי ידיעת האב, את עץ הזית העתיק ביותר במטע. יום אחד מופיעים דחפורי ענק ועוקרים מהאדמה  ...  המשך ...",עץ הזית
"['7', '3']",תומאס יוצא למשימה כדי למצוא תרופה למגפה הקטלנית שהשתלטה על העולם,הרץ במבוך 3
"['6', '4']",סיפורו של מבצע דינמו בו חולצו מאות אלפי חיילים בריטיים וצרפתים מחופי צרפת במלחמת העולם השנייה.,דנקרק
"['7', '15']","החלק השלישי בטרילוגיה החדשה של כוכב הקופים. הקיסר והקופים שלו נאלצים להיכנס לעימות קטלני עם צבא של בני אדם בראשותו של קולונל אכזרי. לאחר שהקופים סופגים אבדות קשות, הקיסר נאבק עם האינסטינקטים האפלים שלו ויוצא למסע נקמה למען בני מינו. כשהמסע לבסוף מביא את ה ...  המשך ...",כוכב הקופים: המלחמה
['8'],חברים מגבשים תכנית להחזיר חתול גנוב באמצעות התחזות לסוחרי סמים בפני כנופיית רחוב,קיאנו
"['4', '17']","תיאור הניסוי המפורסם של מילגרם שבחן את הציות לסמכות ואת מידת ההיענות של המשתתף לבצע פעולה שעלולה להיות מנוגדת לערכיו או למצפונו, כאשר גרם לנחקרים להאמין שהם נותנים הלם חשמלי לאחרים.",הניסוי
"['10', '11']","פרויקט קולנועי מקיף הכולל תיעוד היסטורי כבן 50 שנה של עולם ההתנחלויות מראשיתו ב-1967 ועד ימינו. מתוך הכרות אישית ומקיפה, הבמאי שמעון דותן חוקר את העולם שיצרו המתנחלים לעצמם בלב ליבו של עימות שקיים כבר למעלה ממאה שנה. הוא בוחן את הזרמים השונים של ההתנחלויו ...  המשך ...",המתנחלים
"['8', '4', '9']","סרטו החדש של וודי אלן המתרחש בהוליווד בשנות ה-30. בובי דורפמן מגיע לעיר לאחר שהוא מואס בחיים שנדמה שכולם מצפים שיהיו לו – לכוד בין הוריו היהודים העוקצניים, אחיו הגנגסטר וחנות התכשיטים המשפחתית. הוליווד של התקופה היא שמחה, נוצצת וזוהרת, ובובי נשאב לתוכה במ ...  המשך ...",קפה סוסייטי
"['4', '13']","זוכה פרס הסרט הטוב ביותר - תחרות ""מבט מסוים"", פסטיבל קאן 2015. בקהילה חקלאית קטנה ומבודדת באיסלנד חיים שני אחים שלא דיברו זה עם זה כבר 40 שנה. כעת תוקפת מחלה קטלנית את העדרים בעמק כולו ושני האחים צריכים לשתף פעולה כדי להגן על מה שבאמת יקר להם - הכבשים",איילים
['7'],"מבוסס על רב המכר הבינלאומי. רייצ'ל ווטסון לוקחת כל בוקר רכבת למקום עבודתה שבלונדון. בהדרך היא זוכה להציץ גם לחלון בית סמוך בו גרים זוג צעיר ומאוהב. עם הזמן הזוג הופך עבורה למושא להערצה ולקנאה, והיא נהנית לדמיין בראשה את סיפור אהבתם. יום אחד נוסעת רייצ'ל ב ...  המשך ...",הבחורה על הרכבת
